Product URL,Descriptions
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11766438/2020/7/28/1d0e2b58-d875-4989-b72f-40b171254ade1595909891815-Roadster-Men-Navy-Blue-Washed-Regular-Fit-Denim-Shorts-18115-1.jpg",Roadster Men Navy Blue Washed Regular Fit Denim Shorts
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2018/12/7/4430abff-bb16-442b-8368-f9dc659cbfd71544188024356-1.jpg",HIGHLANDER Men Khaki Solid Slim Fit Chino Shorts
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/10/4/19e7b538-177e-4943-b7f0-e40a13c6db141601770794000-1.jpg",Breakbounce Men Multicoloured Camouflage Print Slim Fit Cargo Shorts
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11405492/2020/2/19/efeeb7bc-e391-4974-89ea-1782d2c269db1582103286772-Proline-Active-Men-Shorts-3631582103283466-1.jpg",Proline Active Men Navy Blue Slim Fit Printed Sports Shorts
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2018/12/7/38d86dfd-2244-4db7-941f-409e818fb0da1544185468727-1.jpg",HIGHLANDER Men Blue Solid Slim Fit Chino Shorts
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2020/10/4/f1367a93-ee50-4790-b80a-d80dcc522ae01601760827381-1.jpg",Breakbounce Men Khaki Solid Slim Fit Cargo Shorts
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12004950/2020/6/24/654e4d26-bc9f-4c51-a27d-8160e0ccb4f01592987012228-Breakbounce-Men-Blue-Slim-Fit-Solid-Shorts-7171592987010709-1.jpg",Breakbounce Men Navy Blue Printed Slim Fit Shorts
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10180609/2019/8/7/b7d31e0b-b1bb-4e18-9bcd-fa8bdc62c6e41565177512683-Jack--Jones-Men-Brown--White-Striped-Slim-Fit-Polo-Collar-T--1.jpg",Jack & Jones Men Brown & White Striped Slim Fit Polo Collar T-shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10627426/2019/9/24/7e2a3f9f-bebe-4fa7-8194-433b27472dd41569314395357-United-Colors-of-Benetton-Men-Navy-Blue-Striped-Henley-Neck--1.jpg",United Colors of Benetton Men Navy Blue Self-Striped Henley Neck T-shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11359640/2020/3/6/7c6cdf23-0e30-4e8d-8778-c28bdbb84b631583492148097-US-Polo-Assn-Men-Tshirts-9631583492146589-1.jpg",U.S. Polo Assn. Men White Checked Polo Collar T-shirt
